2025-06-03 21:40:02,807 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Configure stats pid to 4592
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\.config\wandb\settings
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Administrator\Desktop\杂乱文件\Diff-RUL-frequency\wandb\settings
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'offline'}
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'MainCondition.py', 'program_abspath': 'c:\\Users\\Administrator\\Desktop\\杂乱文件\\Diff-RUL-frequency\\MainCondition.py', 'program': 'c:\\Users\\Administrator\\Desktop\\杂乱文件\\Diff-RUL-frequency\\MainCondition.py'}
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_init.py:_log_setup():526] Logging user logs to c:\Users\Administrator\Desktop\杂乱文件\Diff-RUL-frequency\wandb\offline-run-20250603_214002-n97fdidp\logs\debug.log
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_init.py:_log_setup():527] Logging internal logs to c:\Users\Administrator\Desktop\杂乱文件\Diff-RUL-frequency\wandb\offline-run-20250603_214002-n97fdidp\logs\debug-internal.log
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_init.py:init():566] calling init triggers
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'model_name': 'Dit', 'embedding': 48, 'hidden': 64, 'num_head': 1, 'num_encoder': 1, 'lstm_hidden': 64, 'num_layers': 1, 'epoch': 50, 'eva_epoch': 35, 'batch_size': 64, 'optimizer': 'adam', 'lr': 0.002, 'lr_type': 'multistep', 'grad_clip': 1.0, 'multiplier': 2.5, 'schedule_name': 'linear', 'task': 'all', 'loss_type': 'mse', 'sample_type': 'ddim', 'input_size': 18, 'output_size': 1, 'window_size': 48, 'dropout': 0.05, 'arch': 'att+td', 'dataset': 'FD001', 'state': 'train', 'T': 1000, 'w': 0, 'device': device(type='cuda'), 'model_path': './weights/temp.pth', 'save_path': './weights/lstm_temp.pth', 'syndata_path': './weights/syn_data/temp.npy'}
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_init.py:init():616] starting backend
2025-06-03 21:40:02,808 INFO    MainThread:4592 [wandb_init.py:init():620] setting up manager
2025-06-03 21:40:02,812 INFO    MainThread:4592 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2025-06-03 21:40:02,814 INFO    MainThread:4592 [wandb_init.py:init():628] backend started and connected
2025-06-03 21:40:02,823 INFO    MainThread:4592 [wandb_init.py:init():720] updated telemetry
2025-06-03 21:40:02,828 INFO    MainThread:4592 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2025-06-03 21:40:02,832 INFO    MainThread:4592 [wandb_init.py:init():804] starting run threads in backend
2025-06-03 21:40:13,628 INFO    MainThread:4592 [wandb_run.py:_console_start():2241] atexit reg
2025-06-03 21:40:13,628 INFO    MainThread:4592 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2025-06-03 21:40:13,628 INFO    MainThread:4592 [wandb_run.py:_redirect():2161] Wrapping output streams.
2025-06-03 21:40:13,628 INFO    MainThread:4592 [wandb_run.py:_redirect():2186] Redirects installed.
2025-06-03 21:40:13,628 INFO    MainThread:4592 [wandb_init.py:init():847] run started, returning control to user process
2025-06-03 21:40:16,155 WARNING MsgRouterThr:4592 [router.py:message_loop():77] message_loop has been closed
